country,year,fiscal
Austria,1993,19.37631024
Austria,1994,19.52082653
Austria,1995,19.66668963
Austria,1996,19.67340699
Austria,1997,19.69943498
Austria,1998,19.66041128
Austria,1999,19.92044219
Austria,2000,19.32826873
Austria,2001,19.07579893
Austria,2002,18.97656694
Austria,2003,19.08835893
Austria,2004,19.03323825
Austria,2005,19.47814113
Austria,2006,19.39521749
Austria,2007,18.86234167
Austria,2008,19.39863511
Austria,2009,20.81209393
Austria,2010,20.62119879
Austria,2011,20.02321825
Austria,2012,19.99015065
Austria,2013,20.0845066
Austria,2014,19.98476082
Austria,2015,19.88795485
Austria,2016,19.75841914
Austria,2017,19.59894064
Austria,2018,19.4423168
Austria,2019,19.53132113
Austria,2020,21.15293402
Austria,2021,21.73176561
Austria,2022,20.55248881
Austria,2023,20.46541252
Belgium,1993,21.29464265
Belgium,1994,21.10193383
Belgium,1995,21.29896512
Belgium,1996,21.71838622
Belgium,1997,21.15139792
Belgium,1998,21.09491806
Belgium,1999,21.28203985
Belgium,2000,21.04019715
Belgium,2001,21.31360634
Belgium,2002,22.13888154
Belgium,2003,22.48437234
Belgium,2004,22.19721265
Belgium,2005,22.09399763
Belgium,2006,21.93878853
Belgium,2007,21.61589482
Belgium,2008,22.66614469
Belgium,2009,24.10410919
Belgium,2010,23.72600225
Belgium,2011,23.87305562
Belgium,2012,24.19307982
Belgium,2013,24.2057918
Belgium,2014,24.1169029
Belgium,2015,23.68120364
Belgium,2016,23.34989081
Belgium,2017,23.11780233
Belgium,2018,23.16961913
Belgium,2019,23.00381128
Belgium,2020,24.30080459
Belgium,2021,23.84076461
Belgium,2022,23.49303585
Belgium,2023,23.77194415
Cyprus,1993,16.8717747
Cyprus,1994,16.65707883
Cyprus,1995,12.47148626
Cyprus,1996,13.20760108
Cyprus,1997,14.84814774
Cyprus,1998,16.10524937
Cyprus,1999,16.18856586
Cyprus,2000,15.23645529
Cyprus,2001,16.09632323
Cyprus,2002,16.78869765
Cyprus,2003,18.08911779
Cyprus,2004,16.7828088
Cyprus,2005,16.75245291
Cyprus,2006,17.18938252
Cyprus,2007,16.7546543
Cyprus,2008,17.36286096
Cyprus,2009,19.11921699
Cyprus,2010,18.74711572
Cyprus,2011,19.36088971
Cyprus,2012,19.10145649
Cyprus,2013,18.73356531
Cyprus,2014,17.07278108
Cyprus,2015,16.60931001
Cyprus,2016,15.48715944
Cyprus,2017,15.03364293
Cyprus,2018,14.70791657
Cyprus,2019,16.0314662
Cyprus,2020,19.19669926
Cyprus,2021,18.5541028
Cyprus,2022,17.87683532
Cyprus,2023,18.55839835
Czechia,1993,20.76767051
Czechia,1994,21.05401599
Czechia,1995,20.05441683
Czechia,1996,19.33470104
Czechia,1997,19.93888287
Czechia,1998,18.89414095
Czechia,1999,19.75772679
Czechia,2000,19.4170938
Czechia,2001,19.38115601
Czechia,2002,20.85247143
Czechia,2003,21.84398049
Czechia,2004,20.59297028
Czechia,2005,20.29896369
Czechia,2006,19.93268469
Czechia,2007,19.13559743
Czechia,2008,19.15521339
Czechia,2009,20.71762677
Czechia,2010,20.32962455
Czechia,2011,19.63707664
Czechia,2012,19.31334265
Czechia,2013,19.59918072
Czechia,2014,19.18996636
Czechia,2015,18.80776377
Czechia,2016,18.78146532
Czechia,2017,18.50981514
Czechia,2018,19.17491832
Czechia,2019,19.26463299
Czechia,2020,21.31989023
Czechia,2021,20.77098746
Czechia,2022,19.44147355
Czechia,2023,19.6583815
Denmark,1993,25.31596125
Denmark,1994,24.42678294
Denmark,1995,24.07268331
Denmark,1996,24.12484369
Denmark,1997,23.67964519
Denmark,1998,24.14479109
Denmark,1999,24.37660188
Denmark,2000,23.89048951
Denmark,2001,24.31161167
Denmark,2002,24.84776585
Denmark,2003,25.00075058
Denmark,2004,24.87322946
Denmark,2005,24.43560573
Denmark,2006,24.1607314
Denmark,2007,24.27793918
Denmark,2008,24.98644932
Denmark,2009,27.81569435
Denmark,2010,27.33610767
Denmark,2011,26.5405592
Denmark,2012,26.50032284
Denmark,2013,25.92850433
Denmark,2014,25.79742038
Denmark,2015,25.54635582
Denmark,2016,24.94291548
Denmark,2017,24.44966226
Denmark,2018,24.38110739
Denmark,2019,24.20477676
Denmark,2020,24.67998753
Denmark,2021,23.84555019
Denmark,2022,21.68108442
Denmark,2023,22.48152477
Estonia,1993,20.58999349
Estonia,1994,23.26561622
Estonia,1995,24.57145173
Estonia,1996,22.61624415
Estonia,1997,20.40626704
Estonia,1998,20.69760379
Estonia,1999,21.92655226
Estonia,2000,19.56198064
Estonia,2001,18.64299362
Estonia,2002,18.1712737
Estonia,2003,17.84221113
Estonia,2004,17.37076874
Estonia,2005,16.85215966
Estonia,2006,15.83238666
Estonia,2007,15.89915915
Estonia,2008,18.43646658
Estonia,2009,20.5332841
Estonia,2010,19.56165225
Estonia,2011,18.29498962
Estonia,2012,18.02425768
Estonia,2013,18.39917287
Estonia,2014,18.43901328
Estonia,2015,19.22326451
Estonia,2016,19.3323941
Estonia,2017,18.87498165
Estonia,2018,18.76285059
Estonia,2019,19.08193305
Estonia,2020,20.50868922
Estonia,2021,19.81568681
Estonia,2022,19.29130867
Estonia,2023,20.64359756
Finland,1993,23.32788226
Finland,1994,22.42128721
Finland,1995,21.91581855
Finland,1996,22.18245291
Finland,1997,21.320104
Finland,1998,20.58190997
Finland,1999,20.2643276
Finland,2000,19.74542842
Finland,2001,19.92766902
Finland,2002,20.63392617
Finland,2003,21.10154633
Finland,2004,21.18671295
Finland,2005,21.41425674
Finland,2006,21.32522663
Finland,2007,20.76831374
Finland,2008,21.5662049
Finland,2009,24.06911162
Finland,2010,23.68573509
Finland,2011,23.40188713
Finland,2012,24.17630678
Finland,2013,24.63574402
Finland,2014,24.63141532
Finland,2015,24.52281723
Finland,2016,23.86877251
Finland,2017,22.94909793
Finland,2018,23.05513033
Finland,2019,23.31857554
Finland,2020,24.42054766
Finland,2021,24.7953884
Finland,2022,24.15002029
Finland,2023,25.57551588
France,1993,23.55920921
France,1994,23.32278225
France,1995,23.26202354
France,1996,23.56930222
France,1997,23.45733309
France,1998,22.70890613
France,1999,22.72590435
France,2000,22.4026552
France,2001,22.25955673
France,2002,22.85788831
France,2003,23.26259153
France,2004,23.15218544
France,2005,23.11753535
France,2006,22.78544207
France,2007,22.47346748
France,2008,22.58955114
France,2009,24.08804198
France,2010,23.97980918
France,2011,23.70109053
France,2012,23.9564328
France,2013,24.07572064
France,2014,24.08144259
France,2015,23.77576177
France,2016,23.75694232
France,2017,23.7013842
France,2018,23.35007584
France,2019,23.03484227
France,2020,24.83983574
France,2021,24.35159842
France,2022,23.86136358
France,2023,23.12356061
Germany,1993,19.28078801
Germany,1994,19.22503564
Germany,1995,19.36976625
Germany,1996,19.63916082
Germany,1997,19.29553981
Germany,1998,19.02364128
Germany,1999,19.08214746
Germany,2000,18.86056929
Germany,2001,18.75050671
Germany,2002,19.01325022
Germany,2003,19.07346004
Germany,2004,18.56692426
Germany,2005,18.47397139
Germany,2006,18.01729468
Germany,2007,17.555365
Germany,2008,17.95109821
Germany,2009,19.59793496
Germany,2010,19.17689197
Germany,2011,18.69343222
Germany,2012,18.89779244
Germany,2013,19.2479981
Germany,2014,19.21012874
Germany,2015,19.31223567
Germany,2016,19.51907162
Germany,2017,19.45954952
Germany,2018,19.50223396
Germany,2019,19.90302358
Germany,2020,21.73132113
Germany,2021,21.67421922
Germany,2022,21.52132731
Germany,2023,21.22872741
Greece,1993,16.83318476
Greece,1994,16.21036036
Greece,1995,18.04365166
Greece,1996,18.022822
Greece,1997,18.24228539
Greece,1998,18.10102179
Greece,1999,18.69563729
Greece,2000,18.94208004
Greece,2001,19.31855976
Greece,2002,19.77889641
Greece,2003,19.48253679
Greece,2004,19.64282084
Greece,2005,20.47958237
Greece,2006,20.49056534
Greece,2007,20.82563405
Greece,2008,21.0036498
Greece,2009,23.62848061
Greece,2010,22.41025596
Greece,2011,22.07830713
Greece,2012,22.55783947
Greece,2013,20.92979247
Greece,2014,20.72270806
Greece,2015,20.76798375
Greece,2016,20.61806031
Greece,2017,20.43841265
Greece,2018,19.65971045
Greece,2019,19.97912045
Greece,2020,22.72749406
Greece,2021,21.49743856
Greece,2022,19.98568756
Greece,2023,19.28684397
Hungary,1993,27.72710912
Hungary,1994,25.47385387
Hungary,1995,22.86957745
Hungary,1996,21.63329147
Hungary,1997,21.25536529
Hungary,1998,20.91576239
Hungary,1999,21.25725647
Hungary,2000,21.19729043
Hungary,2001,21.08325378
Hungary,2002,21.8644478
Hungary,2003,23.01394913
Hungary,2004,22.02186645
Hungary,2005,22.12260908
Hungary,2006,21.99107437
Hungary,2007,20.77831635
Hungary,2008,21.37403292
Hungary,2009,22.01929913
Hungary,2010,21.4003933
Hungary,2011,20.59730673
Hungary,2012,19.95598385
Hungary,2013,19.72300715
Hungary,2014,19.99449042
Hungary,2015,19.7138882
Hungary,2016,19.96110606
Hungary,2017,20.19282003
Hungary,2018,19.69256484
Hungary,2019,20.0857248
Hungary,2020,21.35886541
Hungary,2021,20.89843457
Hungary,2022,20.63735659
Hungary,2023,20.03210207
Ireland,1993,18.34333031
Ireland,1994,18.16457288
Ireland,1995,17.21793453
Ireland,1996,16.59254979
Ireland,1997,16.11882924
Ireland,1998,15.54795156
Ireland,1999,15.02619874
Ireland,2000,14.74592044
Ireland,2001,15.39983062
Ireland,2002,15.80623226
Ireland,2003,16.05588001
Ireland,2004,16.16603796
Ireland,2005,16.0571073
Ireland,2006,16.22673677
Ireland,2007,16.84699942
Ireland,2008,18.65242503
Ireland,2009,20.04062843
Ireland,2010,18.65947867
Ireland,2011,18.91106349
Ireland,2012,18.06663488
Ireland,2013,16.81776274
Ireland,2014,15.96983824
Ireland,2015,12.10309936
Ireland,2016,12.5240695
Ireland,2017,11.92312678
Ireland,2018,11.75349737
Ireland,2019,11.81450312
Ireland,2020,12.60673881
Ireland,2021,11.68537011
Ireland,2022,11.06084836
Ireland,2023,12.16909505
Italy,1993,19.33784089
Italy,1994,18.64896692
Italy,1995,17.39468597
Italy,1996,17.58499727
Italy,1997,17.63870712
Italy,1998,17.49159348
Italy,1999,17.51144771
Italy,2000,17.68998
Italy,2001,18.3367541
Italy,2002,18.47398601
Italy,2003,18.91179417
Italy,2004,19.09313591
Italy,2005,19.54334315
Italy,2006,19.39412418
Italy,2007,18.94698481
Italy,2008,19.48830907
Italy,2009,20.58920522
Italy,2010,20.4683139
Italy,2011,19.71313211
Italy,2012,19.7044703
Italy,2013,19.70324699
Italy,2014,19.43790545
Italy,2015,19.01931349
Italy,2016,18.92534428
Italy,2017,18.74481583
Italy,2018,18.81339072
Italy,2019,18.5421072
Italy,2020,20.56805703
Italy,2021,19.19460405
Italy,2022,18.79883222
Italy,2023,17.78636048
Latvia,1995,24.30913755
Latvia,1996,22.61051421
Latvia,1997,21.61501585
Latvia,1998,23.25351554
Latvia,1999,23.18565893
Latvia,2000,21.41966787
Latvia,2001,20.97055922
Latvia,2002,21.3131866
Latvia,2003,22.08494558
Latvia,2004,20.69035755
Latvia,2005,18.62978886
Latvia,2006,18.17819628
Latvia,2007,18.60088417
Latvia,2008,20.70106871
Latvia,2009,19.57389717
Latvia,2010,18.78996977
Latvia,2011,19.25570401
Latvia,2012,17.9880561
Latvia,2013,18.28111094
Latvia,2014,18.48833538
Latvia,2015,18.70956365
Latvia,2016,18.4763444
Latvia,2017,18.67031595
Latvia,2018,18.5352676
Latvia,2019,19.80890115
Latvia,2020,20.88969332
Latvia,2021,21.72997618
Latvia,2022,20.48463458
Latvia,2023,20.36521969
Lithuania,1995,23.8338584
Lithuania,1996,23.94484352
Lithuania,1997,24.04219613
Lithuania,1998,25.77111707
Lithuania,1999,23.55806181
Lithuania,2000,22.38265705
Lithuania,2001,21.13084032
Lithuania,2002,20.55666587
Lithuania,2003,19.54565076
Lithuania,2004,19.08770785
Lithuania,2005,18.51910057
Lithuania,2006,19.18992463
Lithuania,2007,17.45133578
Lithuania,2008,18.66654248
Lithuania,2009,21.20541316
Lithuania,2010,20.11071004
Lithuania,2011,18.4673994
Lithuania,2012,17.54387902
Lithuania,2013,16.73554362
Lithuania,2014,16.6918744
Lithuania,2015,17.16899149
Lithuania,2016,17.02918464
Lithuania,2017,16.29936413
Lithuania,2018,16.21781687
Lithuania,2019,16.79594806
Lithuania,2020,18.36054542
Lithuania,2021,17.49749496
Lithuania,2022,16.74404612
Lithuania,2023,17.27548345
Luxembourg,1993,15.59525974
Luxembourg,1994,15.15354445
Luxembourg,1995,15.70156018
Luxembourg,1996,16.06018749
Luxembourg,1997,15.73791544
Luxembourg,1998,15.26468067
Luxembourg,1999,14.98804322
Luxembourg,2000,14.49547588
Luxembourg,2001,15.33322035
Luxembourg,2002,15.95583544
Luxembourg,2003,16.36937515
Luxembourg,2004,16.37560618
Luxembourg,2005,16.58242568
Luxembourg,2006,15.17136846
Luxembourg,2007,14.42886668
Luxembourg,2008,14.48921744
Luxembourg,2009,16.08100773
Luxembourg,2010,15.78580051
Luxembourg,2011,16.04478991
Luxembourg,2012,16.30409061
Luxembourg,2013,16.3503423
Luxembourg,2014,16.05145356
Luxembourg,2015,15.96816419
Luxembourg,2016,15.6742178
Luxembourg,2017,16.21936089
Luxembourg,2018,16.80366668
Luxembourg,2019,17.23898833
Luxembourg,2020,18.47245626
Luxembourg,2021,17.47194547
Luxembourg,2022,17.63871326
Luxembourg,2023,18.98974124
Malta,1993,18.55073897
Malta,1994,18.85222056
Malta,1995,17.81616731
Malta,1996,18.94999221
Malta,1997,18.20664944
Malta,1998,18.0455272
Malta,1999,17.61719057
Malta,2000,17.65521703
Malta,2001,18.85624765
Malta,2002,18.76237308
Malta,2003,18.81472011
Malta,2004,18.8544343
Malta,2005,18.16987084
Malta,2006,18.48687775
Malta,2007,17.88969586
Malta,2008,19.43551079
Malta,2009,19.2965712
Malta,2010,18.58063672
Malta,2011,18.91419147
Malta,2012,19.15511596
Malta,2013,17.98906399
Malta,2014,17.85894842
Malta,2015,16.93112258
Malta,2016,16.94165678
Malta,2017,15.82357396
Malta,2018,16.02797443
Malta,2019,16.8903191
Malta,2020,19.71494314
Malta,2021,18.33201195
Malta,2022,17.40190275
Malta,2023,16.57012332
Netherlands,1993,22.63263062
Netherlands,1994,22.45440018
Netherlands,1995,22.39298007
Netherlands,1996,21.33275413
Netherlands,1997,20.95628415
Netherlands,1998,20.79885726
Netherlands,1999,20.56038063
Netherlands,2000,20.54662742
Netherlands,2001,20.94665808
Netherlands,2002,22.04549206
Netherlands,2003,22.80787957
Netherlands,2004,22.41065667
Netherlands,2005,22.18949888
Netherlands,2006,23.0747101
Netherlands,2007,23.09999599
Netherlands,2008,23.34580584
Netherlands,2009,25.77768327
Netherlands,2010,26.08682129
Netherlands,2011,25.56443241
Netherlands,2012,25.81840445
Netherlands,2013,25.59111254
Netherlands,2014,25.41381348
Netherlands,2015,24.65105303
Netherlands,2016,24.27771028
Netherlands,2017,23.90469075
Netherlands,2018,23.95750902
Netherlands,2019,24.11930096
Netherlands,2020,25.41927803
Netherlands,2021,25.15158993
Netherlands,2022,24.19955324
Netherlands,2023,24.503114
Poland,1995,18.81973896
Poland,1996,18.4388608
Poland,1997,18.02803148
Poland,1998,17.64104298
Poland,1999,17.80632986
Poland,2000,17.98743862
Poland,2001,18.5515182
Poland,2002,18.56338063
Poland,2003,18.8451543
Poland,2004,18.23438479
Poland,2005,18.28413167
Poland,2006,18.47127053
Poland,2007,18.16668488
Poland,2008,18.62627565
Poland,2009,18.70774706
Poland,2010,19.14923872
Poland,2011,18.07786129
Poland,2012,18.00865715
Poland,2013,18.33080143
Poland,2014,18.23802688
Poland,2015,17.90503127
Poland,2016,17.8215503
Poland,2017,17.56684074
Poland,2018,17.46965315
Poland,2019,17.81830817
Poland,2020,18.83716216
Poland,2021,18.52315107
Poland,2022,18.11912863
Poland,2023,18.99321204
Portugal,1993,17.48464931
Portugal,1994,17.54189721
Portugal,1995,17.46183418
Portugal,1996,17.67850528
Portugal,1997,17.59862704
Portugal,1998,17.83295201
Portugal,1999,18.0287125
Portugal,2000,18.86600063
Portugal,2001,19.24967134
Portugal,2002,19.55209435
Portugal,2003,20.10639603
Portugal,2004,20.42361985
Portugal,2005,20.98514763
Portugal,2006,20.32076368
Portugal,2007,19.6068704
Portugal,2008,19.76905205
Portugal,2009,21.30587455
Portugal,2010,20.56457957
Portugal,2011,19.68055491
Portugal,2012,18.30903694
Portugal,2013,18.82784521
Portugal,2014,18.3843384
Portugal,2015,17.88256958
Portugal,2016,17.5981689
Portugal,2017,17.22324424
Portugal,2018,16.99257122
Portugal,2019,16.98814389
Portugal,2020,18.92242906
Portugal,2021,18.65580966
Portugal,2022,17.44722609
Portugal,2023,16.87684527
Slovakia,1993,27.7486512
Slovakia,1994,23.71471453
Slovakia,1995,23.47765349
Slovakia,1996,25.05582847
Slovakia,1997,22.87596689
Slovakia,1998,23.09295376
Slovakia,1999,21.05328289
Slovakia,2000,20.76173459
Slovakia,2001,20.93030726
Slovakia,2002,20.41030098
Slovakia,2003,20.84618369
Slovakia,2004,18.90371667
Slovakia,2005,18.55959166
Slovakia,2006,18.77329453
Slovakia,2007,17.13780085
Slovakia,2008,17.54184587
Slovakia,2009,20.00594457
Slovakia,2010,19.2064842
Slovakia,2011,18.35608505
Slovakia,2012,17.80327958
Slovakia,2013,18.03959829
Slovakia,2014,18.30819999
Slovakia,2015,18.49161594
Slovakia,2016,18.79781587
Slovakia,2017,18.83244153
Slovakia,2018,18.5660493
Slovakia,2019,19.55946073
Slovakia,2020,20.75604537
Slovakia,2021,20.78261819
Slovakia,2022,20.49312441
Slovakia,2023,20.09876806
Slovenia,1993,18.18596203
Slovenia,1994,17.42089817
Slovenia,1995,17.81030243
Slovenia,1996,17.74981403
Slovenia,1997,17.68015996
Slovenia,1998,17.70865119
Slovenia,1999,17.87935975
Slovenia,2000,18.58013487
Slovenia,2001,19.01664874
Slovenia,2002,18.87646562
Slovenia,2003,18.94884783
Slovenia,2004,18.96764003
Slovenia,2005,19.04416826
Slovenia,2006,18.75815001
Slovenia,2007,17.5222685
Slovenia,2008,18.24865176
Slovenia,2009,20.39660289
Slovenia,2010,20.59689808
Slovenia,2011,20.71743209
Slovenia,2012,20.53649653
Slovenia,2013,19.86594145
Slovenia,2014,19.07215099
Slovenia,2015,18.99856785
Slovenia,2016,19.24015489
Slovenia,2017,18.61972082
Slovenia,2018,18.41303045
Slovenia,2019,18.46960119
Slovenia,2020,20.74473447
Slovenia,2021,20.85045616
Slovenia,2022,19.52109139
Slovenia,2023,19.22685657
Spain,1993,18.35829729
Spain,1994,17.774568
Spain,1995,17.62637993
Spain,1996,17.49641065
Spain,1997,17.01636508
Spain,1998,16.8709354
Spain,1999,16.80408977
Spain,2000,16.70509243
Spain,2001,16.54549916
Spain,2002,16.62007298
Spain,2003,16.76788969
Spain,2004,17.1564974
Spain,2005,17.31733544
Spain,2006,17.3404141
Spain,2007,17.67273821
Spain,2008,18.77418125
Spain,2009,20.56915721
Spain,2010,20.54792994
Spain,2011,20.57640663
Spain,2012,19.88360599
Spain,2013,19.80993553
Spain,2014,19.55177781
Spain,2015,19.35559538
Spain,2016,18.95541009
Spain,2017,18.54329484
Spain,2018,18.58446426
Spain,2019,18.73862376
Spain,2020,21.81570544
Spain,2021,21.00513649
Spain,2022,19.96412423
Spain,2023,19.46354727
Sweden,1993,27.41594703
Sweden,1994,26.42891387
Sweden,1995,25.50578277
Sweden,1996,25.81731945
Sweden,1997,25.30173426
Sweden,1998,25.366036
Sweden,1999,25.37253838
Sweden,2000,24.52538411
Sweden,2001,24.72661479
Sweden,2002,25.40168953
Sweden,2003,25.7329563
Sweden,2004,25.05846605
Sweden,2005,24.93019639
Sweden,2006,24.66208652
Sweden,2007,24.20581067
Sweden,2008,24.78545141
Sweden,2009,26.13211614
Sweden,2010,25.18778521
Sweden,2011,25.0924805
Sweden,2012,25.8785849
Sweden,2013,26.31828066
Sweden,2014,26.27548671
Sweden,2015,25.89277
Sweden,2016,26.43903831
Sweden,2017,26.26195557
Sweden,2018,26.25521306
Sweden,2019,25.83599337
Sweden,2020,26.53116584
Sweden,2021,25.75244159
Sweden,2022,25.32396533
Sweden,2023,26.04845707